cluster_id,rank,key,label,euclidean_distance,cosine_similarity
0,1,2023-decoding-delusions-a-clinician-s-guide-to-working-with-delusions-and-other:65,the Peoples Temple,0.37020314937908444,0.9431370983966688
0,2,bromley-2007-teaching-new-religious-movementslearning-from-new-religious-movemen:112,the Peoples Temple,0.37020314937908444,0.9431370983966688
0,3,clarke-2004-encyclopedia-of-new-religious-movements:494,the Peoples Temple,0.37020314937908444,0.9431370983966688
0,4,dawson-2009-cults-and-new-religious-movements-a-reader:177,the Peoples Temple,0.37020314937908444,0.9431370983966688
0,5,dawson-2009-cults-and-new-religious-movements-a-reader:176,The Peoples Temple,0.3787168326726651,0.9390506606483274
0,6,clarke-2004-encyclopedia-of-new-religious-movements:462,The Peoples Temple,0.3787168326726651,0.9390506606483274
0,7,lalich-2004-bounded-choicetrue-believers-and-charismatic-cults:3,Peoples Temple,0.40147206592496354,0.9276728670851465
0,8,chryssides-2006-the-a-to-z-of-new-religious-movements:145,Peoples Temple,0.40147206592496354,0.9276728670851465
1,1,lucas-and-robbins-2004-new-religious-movements-in-the-twenty-first-century:15,the Branch Davidians,0.48838857343426517,0.8892246554548345
1,2,davis-and-hankins-2002-new-religious-movements-and-religious-liberty-in-america:4,the Branch Davidians,0.48838857343426517,0.8892246554548345
1,3,bromley-2007-teaching-new-religious-movementslearning-from-new-religious-movemen:15,the Branch Davidians,0.48838857343426517,0.8892246554548345
1,4,2023-decoding-delusions-a-clinician-s-guide-to-working-with-delusions-and-other:65,the Branch Davidians,0.48838857343426517,0.8892246554548345
1,5,lewis-and-t-llefsen-2016-the-oxford-handbook-of-new-religious-movements-volume-i:177,Branch Davidians,0.4978568252134083,0.882723723501063
1,6,hexham-et-al-2001-new-religious-movements-challenge-and-response:239,Branch Davidians,0.4978568252134083,0.882723723501063
1,7,2008-the-oxford-handbook-of-new-religious-movements-1:147,Branch Davidians,0.4978568252134083,0.882723723501063
1,8,clarke-2004-encyclopedia-of-new-religious-movements:714,Branch Davidians,0.4978568252134083,0.882723723501063
2,1,2008-the-oxford-handbook-of-new-religious-movements-1:327,The Church of Scientology,0.3060571917275642,0.9589521180759938
2,2,2023-decoding-delusions-a-clinician-s-guide-to-working-with-delusions-and-other:34,The Church of Scientology,0.3060571917275642,0.9589521180759938
2,3,lucas-and-robbins-2004-new-religious-movements-in-the-twenty-first-century:21,The Church of Scientology,0.3060571917275642,0.9589521180759938
2,4,lewis-and-t-llefsen-2016-the-oxford-handbook-of-new-religious-movements-volume-i:324,The Church of Scientology,0.3060571917275642,0.9589521180759938
2,5,melton-2014-encyclopedic-handbook-of-cults-in-america:241,Church of Scientology,0.33903020223489194,0.9463481695115779
2,6,2023-decoding-delusions-a-clinician-s-guide-to-working-with-delusions-and-other:232,Church of Scientology,0.33903020223489194,0.9463481695115779
2,7,barker-2020-even-new-religious-movements-have-legacies:2,Church of Scientology,0.33903020223489194,0.9463481695115779
2,8,barker-2020-even-new-religious-movements-have-legacies-2124:2,Church of Scientology,0.33903020223489194,0.9463481695115779
3,1,barker-2020-even-new-religious-movements-have-legacies-2124:8,"the 'suicide cult', Heaven's Gate",0.45412443531064683,0.9064896986822326
3,2,barker-2020-even-new-religious-movements-have-legacies:8,"the 'suicide cult', Heaven's Gate",0.45412443531064683,0.9064896986822326
3,3,2008-the-oxford-handbook-of-new-religious-movements-1:393,the collective suicide of Heaven's Gate,0.47027954952203593,0.8963900059013847
3,4,kaplan-and-l-w-2002-2-the-cult-the-cultic-milieu-and-secularization:113,the early 1997 San Diego Heaven's Gate cult suicide,0.5414230172144731,0.847711205366757
3,5,dawson-2009-the-study-of-new-religious-movements-and-the-radicalization-of-home:1,the collective suicide of Heaven's Gate in San Diego in 1997,0.5414868388286219,0.8476644148907871
3,6,2023-decoding-delusions-a-clinician-s-guide-to-working-with-delusions-and-other:198,The Heaven's Gate Suicides,0.5430542830181737,0.8465145355212964
3,7,2023-decoding-delusions-a-clinician-s-guide-to-working-with-delusions-and-other:13,the Heaven's Gate collective suicide in California in 1997,0.5569887674510277,0.8361477018687349
3,8,bromley-2007-teaching-new-religious-movementslearning-from-new-religious-movemen:59,suicide cults,0.5831807799287423,0.8159506893003736
4,1,2008-the-oxford-handbook-of-new-religious-movements-1:134,Heaven's Gate,0.20683626715792902,0.9848487070685797
4,2,lalich-2004-bounded-choicetrue-believers-and-charismatic-cults:1,Heaven's Gate,0.20683626715792902,0.9848487070685797
4,3,kaplan-and-l-w-2002-2-the-cult-the-cultic-milieu-and-secularization:130,Heaven's Gate,0.20683626715792902,0.9848487070685797
4,4,dawson-2009-cults-and-new-religious-movements-a-reader:262,Heaven's Gate,0.20683626715792902,0.9848487070685797
4,5,dawson-2006-psychopathologies-and-the-attribution-of-charisma-a-critical-introdu:1,Heaven's Gate,0.20683626715792902,0.9848487070685797
4,6,davis-and-hankins-2002-new-religious-movements-and-religious-liberty-in-america:58,Heaven's Gate,0.20683626715792902,0.9848487070685797
4,7,lewis-and-t-llefsen-2016-the-oxford-handbook-of-new-religious-movements-volume-i:303,Heaven's Gate,0.20683626715792902,0.9848487070685797
4,8,clarke-2004-encyclopedia-of-new-religious-movements:275,Heaven's Gate,0.20683626715792902,0.9848487070685797
