entity_key,entity_label,nearest_cluster_id,euclidean_distance,cosine_similarity
koresh,koresh,20,0.8606996269736793,0.5324351910168688
nrms,nrms,9,0.28957710555698857,0.9704167647923491
sant bani ashram,sant bani ashram,25,0.8695176263414458,0.5061564891327892
y2k,y2k,35,0.8173674713253573,0.5829448946172187
next level mind,next level mind,35,0.6735885674060655,0.7424669907644998
shakers,shakers,35,0.7259048716983594,0.6879826884501178
neo-pagans,neo-pagans,31,0.5576805441195977,0.8374172092045452
ufos,ufos,24,0.7289369060187708,0.6858261677264936
new age,new age,19,0.516524419893447,0.8676928305784949
witches,witches,16,0.748197207002234,0.6641427799375379
wiccans,wiccans,16,0.6301328902010961,0.7814039772802182
new religious movements,new religious movements,39,0.4741773089607288,0.900158864103572
buddhism,buddhism,24,0.7730785480730142,0.6343913277229669
theosophy,theosophy,34,0.6009446477328075,0.8087011964214136
center for studies on new religions,center for studies on new religions,39,0.646532712141204,0.7646508909112659
enciclopedia delle religioni in italia,enciclopedia delle religioni in italia,32,0.8493054927073019,0.5522641607800327
mystics and messiahs: cults and new religions in american history,mystics and messiahs: cults and new religions in american history,57,0.7563623857675007,0.6575231549153583
ufo religions,ufo religions,57,0.7266108417811804,0.6879930533708724
encyclopedia of american religions,encyclopedia of american religions,32,0.7663509565497697,0.6460560551057769
cults,cults,52,0.5966032296544521,0.8032308003044024
sects,sects,42,0.6066490663562055,0.7991925237936262
new religions,new religions,39,0.5638706157517771,0.8348421946549045
charisma,charisma,54,0.6748979973362471,0.7379382521388154
millennium,millennium,35,0.8202376101542619,0.5794474902596305
misunderstanding cults,misunderstanding cults,58,0.6758890148857686,0.7370112983406074
new age movement,new age movement,19,0.5269336908387149,0.8602260388644938
new age studies,new age studies,19,0.5719149622696277,0.8262499395080636
people's temple,people's temple,0,0.42328290934107365,0.9161442892637464
pentecostal,pentecostal,32,0.7489358696757987,0.6645231608969044
jonestown,jonestown,35,0.8967955364167208,0.48162707305763985
branch davidian,branch davidian,1,0.549786908651558,0.8448492441498475
solar temple,solar temple,7,0.40823729472730896,0.9247592390943455
aum shinrikyo,aum shinrikyo,26,0.40120758066516343,0.9326130706376836
heaven's gate,heaven's gate,4,0.20683626715792902,0.9848487070685799
pentecostalism,pentecostalism,39,0.7583170969260594,0.6544831739648453
the new religious consciousness,the new religious consciousness,39,0.6138012589534501,0.7935913140349821
understanding the new religions,understanding the new religions,57,0.6064714856865058,0.7985949857677732
unification church,unification church,27,0.4322198153257408,0.9146792021011159
moonie,moonie,25,0.8206550479209451,0.5730972369704465
eileen barker,eileen barker,35,0.8722065518937765,0.5139957553634673
saul levine,saul levine,35,0.8606227273167215,0.5289331300012963
eckankar,eckankar,25,0.8592524961193807,0.5205406135348031
satanic ritual abuse,satanic ritual abuse,15,0.6131431465768418,0.792607683804671
satanism,satanism,15,0.5286690265304991,0.858851291700762
france,france,36,0.8210758567744678,0.5795589551357587
european,european,36,0.763445982664937,0.6467199935635872
u.s.,u.s.,36,0.7684719626973475,0.6410568460720787
american,american,37,0.7325505455462302,0.6848913077118535
sra,sra,25,0.85856181009611,0.5215021288596783
bhagwan rajneesh,bhagwan rajneesh,20,0.6589299555095026,0.755171604803616
movement of spiritual inner awareness,movement of spiritual inner awareness,39,0.6752125546529764,0.7380580469405598
nrm,nrm,9,0.44724763730528466,0.8987505354384616
osho rajneesh,osho rajneesh,20,0.5756921847713693,0.829825621034276
raelian,raelian,6,0.6337042329909202,0.7738341851393724
falun gong,falun gong,8,0.3763509258612696,0.9365537740614029
western esotericism,western esotericism,34,0.7347107558770627,0.6784194502503162
neopaganism,neopaganism,31,0.5703731712746538,0.827564966320959
american academy of religion,american academy of religion,32,0.74351641759165,0.6701836250608002
society for the scientific study of religion,society for the scientific study of religion,34,0.7059300388904998,0.7086536053248425
yiguandao,yiguandao,25,0.7897963429833992,0.6133791711206346
al-qaeda,al-qaeda,24,0.734498418151938,0.6795125183858803
christian science,christian science,14,0.3681155571805983,0.938755168056176
spiritualism,spiritualism,39,0.7181975679320167,0.6960394242520219
evangelical christianity,evangelical christianity,32,0.7280977507133942,0.6860624217685044
eastern religions,eastern religions,24,0.7542168211856143,0.6567391925563868
ernst troeltsch,ernst troeltsch,35,0.909304321578662,0.4648146142544798
baptists,baptists,32,0.7482944881716045,0.6651951211695719
methodists,methodists,24,0.7461617484034113,0.6661152220787034
world council of churches,world council of churches,32,0.650697032255366,0.7607453687409804
black muslims,black muslims,24,0.6640627535624816,0.755932922043281
salvation army,salvation army,2,0.714372025260277,0.7120589668764574
