concept_id,concept_en,gloss_en,source,centrality_score
i71809,disparagement,a communication that belittles somebody or something,OMW (oewn:2024 via wn),632
i81481,law,the collection of rules imposed by authority,OMW (oewn:2024 via wn),614
i80225,military,the military forces of a nation,OMW (oewn:2024 via wn),374
i73855,colloquialism,a colloquial expression; characteristic of spoken or written communication that seeks to imitate informal speech,OMW (oewn:2024 via wn),289
i69585,plural,the form of a word that is used to denote more than one,OMW (oewn:2024 via wn),250
i68659,chemistry,the science of matter; the branch of the natural sciences dealing with the composition of substances and their properties and reactions,OMW (oewn:2024 via wn),224
i68812,computer science,the branch of engineering science that studies (with the aid of computers) computable processes and structures,OMW (oewn:2024 via wn),224
i73566,music,an artistic form of auditory communication incorporating instrumental or vocal tones in a structured and continuous manner,OMW (oewn:2024 via wn),198
i68494,biology,the science that studies living organisms,OMW (oewn:2024 via wn),195
i68670,physics,the science of matter and energy and their interactions,OMW (oewn:2024 via wn),189
i39427,terrorism,the calculated use of violence (or the threat of violence) against civilians in order to attain goals that are political or religious or ideological in nature; this is done through intimidation or coercion or instilling fear,OMW (oewn:2024 via wn),165
i68597,botany,the branch of biology that studies plants,OMW (oewn:2024 via wn),158
i68341,mathematics,a science (or group of related sciences) dealing with the logic of quantity and shape and arrangement,OMW (oewn:2024 via wn),157
i61871,quality,an essential and distinguishing attribute of something or someone,OMW (oewn:2024 via wn),156
i79788,class,(biology) a taxonomic group containing one or more orders,OMW (oewn:2024 via wn),153
i108184,monetary unit,a unit of money,OMW (oewn:2024 via wn),145
i116632,time period,an amount of time,OMW (oewn:2024 via wn),143
i38140,sport,an active diversion requiring physical exertion and competition,OMW (oewn:2024 via wn),141
i37882,baseball,a ball game played with a bat and ball between two teams of nine players; teams take turns at bat trying to score runs,OMW (oewn:2024 via wn),138
i114036,mineral,solid homogeneous inorganic substances occurring in nature having a definite chemical composition,OMW (oewn:2024 via wn),135
i68504,medicine,the branches of medical science that deal with nonsurgical techniques,OMW (oewn:2024 via wn),123
i112305,inflammation,a response of body tissues to injury or irritation; characterized by pain and swelling and redness and heat,OMW (oewn:2024 via wn),116
i110109,condition,a state at a particular time,OMW (oewn:2024 via wn),112
i81212,terrorist organization,a political movement that uses terror as a weapon to achieve its goals,OMW (oewn:2024 via wn),111
i38477,position,a job in an organization,OMW (oewn:2024 via wn),109
i112109,symptom,(medicine) any sensation or change in bodily function that is experienced by a patient and is associated with a particular disease,OMW (oewn:2024 via wn),109
i36683,cooking,the act of preparing something (as food) by the application of heat,OMW (oewn:2024 via wn),107
i68419,statistics,a branch of applied mathematics concerned with the collection and interpretation of quantitative data and the use of probability theory to estimate population parameters,OMW (oewn:2024 via wn),107
i79104,collection,several things grouped together or considered as a whole,OMW (oewn:2024 via wn),100
i116549,wood,the hard fibrous lignified substance under the bark of trees,OMW (oewn:2024 via wn),99
i40426,pitched battle,a fierce battle fought in close combat between troops in predetermined positions at a chosen time and place,OMW (oewn:2024 via wn),97
i72497,trademark,a formally registered symbol (‘™’) identifying the manufacturer or distributor of a product,OMW (oewn:2024 via wn),89
i86466,mythical being,an imaginary being of myth or fable,OMW (oewn:2024 via wn),88
i74277,slang,a characteristic language of a particular group (as among thieves),OMW (oewn:2024 via wn),87
i72381,letter,the conventional characters of the alphabet used to represent speech,OMW (oewn:2024 via wn),85
i87055,fictional character,an imaginary person represented in a work of fiction (play or film or story),OMW (oewn:2024 via wn),84
i68991,linguistics,the scientific study of language,OMW (oewn:2024 via wn),81
i114921,compound,(chemistry) a substance formed by chemical union of two or more elements or ingredients in definite proportion by weight,OMW (oewn:2024 via wn),81
i62823,property,a basic or essential property shared by all members of a class,OMW (oewn:2024 via wn),80
i113790,acid,any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt,OMW (oewn:2024 via wn),80
i113883,metallic element,any of several chemical elements that are usually shiny solids that conduct heat or electricity and can be formed into sheets etc.,OMW (oewn:2024 via wn),79
i37550,activity,any specific behavior,OMW (oewn:2024 via wn),78
i38955,operation,a medical procedure involving an incision with instruments; performed to repair damage or arrest disease in a living body,OMW (oewn:2024 via wn),75
i68078,religion,a strong belief in a supernatural power or powers that control human destiny,OMW (oewn:2024 via wn),75
i68560,anatomy,the branch of morphology that deals with the structure of animals,OMW (oewn:2024 via wn),74
i68832,psychology,the science of mental life,OMW (oewn:2024 via wn),74
i35578,state,the way something is with respect to its main attributes,OMW (oewn:2024 via wn),73
i68631,genetics,the branch of biology that studies heredity and variation in organisms,OMW (oewn:2024 via wn),73
i73853,archaism,the use of an archaic expression,OMW (oewn:2024 via wn),71
i68760,geology,a science that deals with the history of the earth as recorded in rocks,OMW (oewn:2024 via wn),70
i80946,agency,an administrative unit of government,OMW (oewn:2024 via wn),70
i40314,art,the creation of beautiful or significant things,OMW (oewn:2024 via wn),69
i116037,salt,a compound formed by replacing hydrogen in an acid by a metal (or a radical that acts like a metal),OMW (oewn:2024 via wn),69
i68067,doctrine,a belief (or system of beliefs) accepted as authoritative by some group or school,OMW (oewn:2024 via wn),68
i41123,commerce,transactions (sales and purchases) having the objective of supplying commodities (goods and services),OMW (oewn:2024 via wn),66
i68673,astronomy,the branch of physics that studies celestial bodies and the universe as a whole,OMW (oewn:2024 via wn),66
i37953,card game,a game played with playing cards,OMW (oewn:2024 via wn),64
i68992,grammar,the branch of linguistics that deals with syntax and morphology (and sometimes also deals with semantics),OMW (oewn:2024 via wn),64
i37860,golf,a game played on a large open course with 9 or 18 holes; the object is use as few strokes as possible in playing all the holes,OMW (oewn:2024 via wn),63
i70092,book,a major division of a long written composition,OMW (oewn:2024 via wn),62
i111547,pathology,any deviation from a healthy or normal condition,OMW (oewn:2024 via wn),62
i75431,sound,the sudden occurrence of an audible event,OMW (oewn:2024 via wn),61
i109174,containerful,the quantity that a container will hold,OMW (oewn:2024 via wn),61
i69544,word,a unit of language that native speakers can identify,OMW (oewn:2024 via wn),59
i68658,zoology,the branch of biology that studies animals,OMW (oewn:2024 via wn),58
i113651,material,the tangible substance that goes into the makeup of a physical object,OMW (oewn:2024 via wn),58
i114398,organic compound,any compound of carbon and another element or a radical,OMW (oewn:2024 via wn),57
i38249,music,musical activity (singing or whistling etc.),OMW (oewn:2024 via wn),55
i79059,people,(plural) any group of human beings (men or women or children) collectively,OMW (oewn:2024 via wn),55
i113213,abnormality,an abnormal physical condition resulting from defective genes or developmental deficiencies,OMW (oewn:2024 via wn),55
i110684,physical condition,the condition or state of the body or bodily functions,OMW (oewn:2024 via wn),54
