concept_id,concept_en,gloss_en,combined_score,specificity,total_weight,total_degree,n_seed_connections,n_edges,seed_terms,relations,is_generic
cn_0001,make,a recognizable kind,8.2363,0.2496,75.0,300.5,33,40,act;amount;bear;build;cause;change;clear;construct;construction;cut,MannerOf;Synonym,true
cn_0002,location,a point or extent in space; a point or extent in space,5.6281,0.4329,32.828,75.828,13,18,earth;east;home;line;market;north;object;place;point;scene,AtLocation;CapableOf;IsA;PartOf;Synonym;UsedFor,true
cn_0003,communicating,the activity of communicating; the activity of conveying information,5.4148,0.2005,40.656,202.724,27,30,acting;bill;call;communication;confusion;conversation;dialogue;education;effort;intelligence,Causes;HasPrerequisite;HasSubevent;IsA;Synonym;UsedFor,true
cn_0004,intellect,knowledge and intellectual ability,5.0769,0.8462,11.0,13.0,6,8,head;intellectual;mind;person;reason;visionary,IsA;PartOf;Synonym,true
cn_0005,existent,having existence or being or actuality,4.6875,0.9375,15.0,16.0,5,8,active;actual;essential;existing;real,SimilarTo;Synonym,true
cn_0006,effectual,producing or capable of producing an intended result or having a striking effect,4.5833,0.9167,11.0,12.0,5,6,available;effective;legal;sound;valid,SimilarTo;Synonym,true
cn_0007,proper,marked by suitability or rightness or appropriateness,4.5,0.5,24.0,48.0,9,15,appropriate;complete;comprehensive;correct;fit;full;real;right;specific,SimilarTo;Synonym,true
cn_0008,convention,a large formal assembly,4.4653,0.4059,20.5,50.5,11,13,assembly;conference;event;meeting;nation;normal;pattern;people;practice;rule,AtLocation;IsA;Synonym,true
cn_0009,asset,a useful or valuable quality,4.3922,0.6275,16.0,25.5,7,12,advantage;home;plus;possession;property;quality;resource,HasProperty;IsA;Synonym,true
cn_0010,have,a person who possesses great material wealth,4.0887,0.3145,39.0,124.0,13,22,bear;carry;change;experience;feature;give;hold;keep;know;leave,Causes;MannerOf;Synonym,true
cn_0011,civilization,"a society in an advanced state of social development (e.g., with complex legal and political and religious organizations)",4.048,0.506,13.828,27.328,8,9,culture;education;government;home;industry;islam;society;sphere,AtLocation;IsA;Synonym,true
cn_0012,topical,of or relating to or arranged by topics,3.9474,0.7895,15.0,19.0,5,10,contemporary;current;local;present;topic,SimilarTo;Synonym,true
cn_0013,newspaper,a daily or weekly publication on folded sheets; contains news and articles and advertisements,3.9004,0.1445,48.412,335.128,27,33,age;article;daily;date;european;feature;forward;hindu;house;independent,AtLocation;HasProperty;IsA;PartOf;ReceivesAction;Synonym;UsedFor,true
cn_0014,prospect,the possibility of future success,3.8824,0.6471,11.0,17.0,6,6,expectation;potential;research;search;survey;view,IsA;MannerOf;Synonym,true
cn_0015,circumstance,a condition that accompanies or influences some event or activity,3.8182,0.6364,14.0,22.0,6,7,ceremony;condition;consideration;context;event;information,IsA;Synonym,true
cn_0016,scrutiny,the act of examining something closely (as for mistakes),3.6842,0.5263,10.0,19.0,7,8,comparison;examination;investigation;look;research;study;survey,IsA;Synonym,true
cn_0017,region,a knowledge domain that you are interested in or are communicating about,3.6129,0.2258,35.0,155.0,16,20,area;atmosphere;country;distance;domain;environment;field;north;outside;part,AtLocation;IsA;Synonym,true
cn_0018,footing,status with respect to the relations between people or groups,3.5714,0.7143,10.0,14.0,5,5,basis;foundation;ground;status;terms,IsA;Synonym,true
cn_0019,portfolio,a set of pieces of creative work collected to be shown to potential customers or employers,3.5556,0.8889,8.0,9.0,4,4,case;function;list;set,IsA,true
cn_0020,reverence,a feeling of profound respect for someone or something,3.3939,0.4848,16.0,33.0,7,10,action;attitude;church;fear;religiosity;respect;worship,AtLocation;IsA;MannerOf;Synonym,true
cn_0021,yield,production of a certain amount,3.3431,0.3039,31.0,102.0,11,19,abandon;bear;fall;gain;give;leave;net;open;pay;product,IsA;MannerOf;Synonym,true
cn_0022,chief,a person who is in charge,3.2903,0.5484,17.0,31.0,6,10,head;important;main;master;primary;principal,SimilarTo;Synonym,true
cn_0023,remainder,something left after other parts have been taken away,3.2143,0.5357,15.0,28.0,6,8,balance;difference;end;number;part;rest,IsA;Synonym,true
cn_0024,outgrowth,a natural consequence of development,3.2143,0.6429,9.0,14.0,5,5,branch;consequence;emergence;growth;process,IsA;Synonym,true
cn_0025,specimen,an example regarded as typical of its class,3.2,0.8,8.0,10.0,4,6,example;individual;pattern;sample,IsA;Synonym,true
cn_0026,crutch,anything that serves as an expedient,3.1429,0.5238,11.0,21.0,6,6,help;hold;patient;person;religion;staff,IsA;UsedFor,true
cn_0027,distaff,the sphere of work by women,3.1429,0.7857,11.0,14.0,4,6,female;feminine;sphere;staff,IsA;SimilarTo;Synonym,true
cn_0028,free rein,the removal of constraints,3.0,1.0,5.0,5.0,3,3,freedom;person;play,Desires;IsA;Synonym,true
cn_0029,female offspring,a child who is female,3.0,1.0,6.0,6.0,3,3,child;daughter;female,IsA,true
