corpus,document_id,language,extraction_method,pages,empty_pages,chars,words,non_nfc_codepoints,replacement_char,private_use,private_use_max_run,control_char,mojibake_seq,spaced_accent,isolated_capital,ligature_pattern,latin_ext_b_letters,greek_letters,cyrillic_letters,mixed_script_tokens,nbsp,soft_hyphen,hyphen_linebreak,cipher_lines,ligature_pattern_per_1k_words,isolated_capital_per_1k_words,spaced_accent_per_1k_words,mixed_script_tokens_per_1k_words,document_integrity_flag,notes,pages_jsonl_sha256
literature,2008-the-oxford-handbook-of-new-religious-movements-1,,native,561,9,1562987,233295,0,0,0,0,0,0,312,1,0,0,14,0,0,0,0,2,1,0.0,0.004,1.337,0.0,detached_accents,hyphen_linebreaks_present;non_latin_letters_present,37f9e29ab20605c1f06d37aedd972b977ad94778e330653c756315c85007eb24
literature,2016-legal-cases-new-religious-movements-and-minority-faiths,,native,6,2,14177,2253,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0.0,0.0,0.0,0.0,,nbsp_present,0dae1aeea34cc3134da2ec474b0fd8ee907f53b072c4485b3fd8775208108743
literature,2023-decoding-delusions-a-clinician-s-guide-to-working-with-delusions-and-other,,native,270,3,672665,106530,0,0,78,10,0,0,218,2,2,0,0,0,0,0,0,0,2,0.019,0.019,2.046,0.0,private_use_cipher;detached_accents,,2c4e8360546b594632dd03b52349855f4a101d4870defe549d36d52b828da5c1
literature,2023-decoding-delusions-a-clinician-s-guide-to-working-with-delusions-and-other-2081,,native,450,39,936990,145143,0,0,0,0,2,0,0,24,0,0,0,0,0,0,0,2,0,0.0,0.165,0.0,0.0,control_chars,hyphen_linebreaks_present,4c3cf27c3a19eef4b68160f13a28ce9e9fc809599e9020dfa4c5d6dd841364a3
literature,adeliyan-tous-et-al-2023-using-law-to-limit-religious-freedom-the-case-of-new-re,,native,29,0,136945,21301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,fe51fe624c46c3f32daa10248953253358b1f9ec4aef2262b56b60709c759839
literature,ajayi-et-al-2010-menace-of-cultism-in-nigerian-tertiary-institutions-the-way-out,,native,6,1,21014,3225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,f3f9c1c1b9bf3258b9a3868a14ec20fc0f6ea22b203eb91bd94089545f84a0f9
literature,anthony-and-robbins-2009-conversion-and-brainwashing-in-new-religious-movements,,native,58,0,181255,26851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,918c151d53f448dbb3c2da16ead3415e747297c4752f69e50bdd3839a0d3399f
literature,arweck-et-al-2013-educating-the-next-generation-in-universal-values-hindu-relate,,native,10,0,34799,5429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,3972881d05e10dfa898234dbf5875f96b261afb97f4ea0c0e67244152abce3a1
literature,arweck-et-al-2013-educating-the-next-generation-in-universal-values-hindu-relate-2125,,native,10,0,34799,5429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,9f347179431984c8391313a9ae3a37eeecd40c0addaf318422c0e75b9988716c
literature,barker-2020-even-new-religious-movements-have-legacies,,native,16,0,51434,7375,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.0,0.407,0.0,0.0,,,9c7c2c2060e729f1358d746a233846fc652a884e741c52ce5c9b8b03debfd518
literature,barker-2020-even-new-religious-movements-have-legacies-2124,,native,16,0,51434,7375,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.0,0.407,0.0,0.0,,,b7912e01b7b6b37b27a48750d127c622a16db196e6e5dbaead0c5a36999b38d8
literature,bhugra-2002-self-concept-psychosis-and-attraction-of-new-religious-movements,,native,16,1,35230,5348,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.187,0.0,0.0,,,c60c4515a93708d50d2e326f0232ada759023177f99dd41742e283c8434d245d
literature,bromley-2007-teaching-new-religious-movementslearning-from-new-religious-movemen,,native,373,2,1061179,160362,0,0,0,0,115,0,30,1,0,0,0,0,0,0,0,1,0,0.0,0.006,0.187,0.0,control_chars,hyphen_linebreaks_present,55f7458aedee9362009d1fa144622053f37bd6c9642b4b7550be6df017695d8e
literature,buxant-and-saroglou-2007-feeling-good-but-lacking-autonomy-closed-mindedness-on,,native,15,0,46076,7020,0,0,0,0,8,0,5,1,0,0,0,0,0,0,0,0,0,0.0,0.142,0.712,0.0,control_chars;detached_accents,,cdb7fcb793c64ba45933be44f02a91ca5cc7f5ab5423002ea356b00f0448e87d
literature,buxant-and-saroglou-2007-feeling-good-but-lacking-autonomy-closed-mindedness-on-2123,,native,15,0,46076,7020,0,0,0,0,8,0,5,1,0,0,0,0,0,0,0,0,0,0.0,0.142,0.712,0.0,control_chars;detached_accents,,e978de71fa4011600cfd40ed50d4eccc19f55b13a4b988d8486fbe9cbcbb703f
literature,card-2019-archaeology-and-new-religious-movements,,native,5,0,13210,1924,1,0,0,0,0,0,0,0,0,82,6,0,68,0,0,0,5,0.0,0.0,0.0,35.343,cmap_cipher,,76068434f9b4f3d703eac78fb6fc4d4d46c26c2c5f08f93260b464aa323c3485
literature,chryssides-2006-the-a-to-z-of-new-religious-movements,,native,422,5,836994,131757,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,3028,0,0.0,0.175,0.0,0.0,,hyphen_linebreaks_present,3d6805540151279e393bdfa989256feb02c805d82ebf073702e95339e1048a0c
literature,chung-et-al-2006-mounting-challenges-to-governance-in-china-surveying-collective,,native,32,1,87243,13077,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0.076,0.076,0.0,0.0,,hyphen_linebreaks_present,84f6d96882591a74af734b8c997e78f5830f23ca55a2c75281f4e9d0e808af73
literature,clarke-2004-encyclopedia-of-new-religious-movements,,native,839,7,2307821,358957,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,1,0,0.003,0.011,0.0,0.0,,hyphen_linebreaks_present;non_latin_letters_present,46de4a4d4234843c308bdd2b67f6bfbc3c6616d1b384fae03b064101648206f5
literature,davis-and-hankins-2002-new-religious-movements-and-religious-liberty-in-america,,native,247,19,641834,101559,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,2,0,0.0,0.128,0.0,0.0,,hyphen_linebreaks_present,c843a7aa99b55cd054ca5ccc753d5143f317167d0039fb2bda55474153f85045
literature,dawson-2006-psychopathologies-and-the-attribution-of-charisma-a-critical-introdu,,native,27,0,76178,11731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,1ac505fccec9e135fbbcec34eab60edb89a2357b141dc2852e8b71943de2dd54
literature,dawson-2009-cults-and-new-religious-movements-a-reader,,native,305,6,1106467,175687,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,7,0,0.006,0.023,0.0,0.0,,hyphen_linebreaks_present,02afee08cac817b8b240984530c53654d022b94e116040a6627cadc25bc727f0
literature,dawson-2009-the-study-of-new-religious-movements-and-the-radicalization-of-home,,native,22,0,76483,11752,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.255,0.0,,,6f087d508c5d1350f7fee9e5f6e4dbb56f3f12917ee8ffc0d6ef9ae262ff0656
literature,denaux-2002-the-attitude-of-belgian-authorities-toward-new-religious-movements,,native,33,0,61828,9795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,,hyphen_linebreaks_present,1fbe171657c89d39b8cfb4e64b4712df6cc6d8c20a3f488018df4ab385559653
literature,dodd-et-al-2010-do-extreme-beliefs-about-internal-states-predict-mood-swings-in,,native,8,0,36783,5774,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,control_chars,,16caf753cec0fbe4108189ad9caa20e1a757d797869b7db78af074d0aada0720
literature,dodd-et-al-2010-do-extreme-beliefs-about-internal-states-predict-mood-swings-in-2122,,native,8,0,36783,5774,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,control_chars,,52d1fbb94833c8aea3a8317f08601bada3639dc01e7855301bd2b909acf80b4e
literature,ferrari-2006-new-religious-movements-in-western-europe,,native,22,0,56362,8832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,cac850f37d3cfac5ed2859fc5d5a7aa6c44cee76499de8bc5bb2b6cbe38fac54
literature,gleig-2012-researching-new-religious-movements-from-the-inside-out-and-the-outsi,,native,17,0,46361,7286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,bace521b38392824b6fcb49d865b3628a2ed87901586791b25541765044c5186
literature,hammer-and-rothstein-2012-the-cambridge-companion-to-new-religious-movements,,native,402,17,954308,149620,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0.007,0.013,0.0,0.0,,,5fff85acdc7a6ac1e770e17072928e04fd5e6f8bfed9d9443cc3e4acb31b68c0
literature,hayes-2006-new-religious-movements-in-the-catholic-church,,native,196,11,365425,62772,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,644,0,0.0,0.016,0.0,0.0,,hyphen_linebreaks_present,6c9c424ccb87bbee686ee2f8861929ae73f2f332705494d6f9b0a24d0c3d377f
literature,hexham-et-al-2001-new-religious-movements-challenge-and-response,,native,303,28,754685,120180,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0.0,0.025,0.0,0.0,,hyphen_linebreaks_present,ba939371b48cb47c19e0dcca2118fbb110f429b89ee773c916af570740fcd1be
literature,introvigne-2014-advocacy-brainwashing-theories-and-new-religious-movements,,native,18,0,63234,10339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,8a9092abc45aba8aa007b7cba20e57fedbe067b950fe3e93c6ac6f485a9f37ad
literature,kaplan-and-l-w-2002-2-the-cult-the-cultic-milieu-and-secularization,,native,364,6,1118689,178234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2748,0,0.0,0.0,0.0,0.0,,hyphen_linebreaks_present,6b48a075e74e33cc2e543bd6e70a5b80de66c607ec49bf2baa710e1831c8209b
literature,lalich-2004-bounded-choicetrue-believers-and-charismatic-cults,,native,355,17,788418,129531,0,0,0,0,0,0,0,1292,1075,0,0,0,0,0,0,1,0,8.299,9.974,0.0,0.0,ligature_substitution,hyphen_linebreaks_present,80ef4e454b0e971aceee0f875e9d93fc43dd87403ad5bdb664fd92f759925864
literature,larkin-and-meyer-2006-pentecostalism-islam-and-culture-new-religious-movements-i,,native,34,0,88596,14266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,9c3bac06ced6663f52cbfc9588811f036e5c72165c4e84d9d383d28262da6809
literature,lewis-and-t-llefsen-2016-the-oxford-handbook-of-new-religious-movements-volume-i,,native,545,24,1543823,238639,0,0,0,0,6,0,2,2,0,0,0,0,0,6577,10,0,0,0.0,0.008,0.008,0.0,control_chars,nbsp_present;soft_hyphens_present,cd3c40bee00cb98eb4c8f6c610b203395cc8b27d67dc7e5282c9d086a04aca90
literature,lucas-and-robbins-2004-new-religious-movements-in-the-twenty-first-century,,native,320,7,990198,150536,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0.0,0.013,0.0,0.0,,hyphen_linebreaks_present;non_latin_letters_present,62f3b0ac39a3114c4131708759b56045f153fa2332f6ce81659e509b57c1bf4d
literature,melton-2014-encyclopedic-handbook-of-cults-in-america,,native,432,57,780608,124679,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,180,0,0.0,0.016,0.0,0.0,,hyphen_linebreaks_present,70b729a88e38833e1497eaf73d29415f669e4d2d30c7022151e1dcc1fd876cf1
literature,munt-and-smith-2010-angels-and-the-dragon-king-s-daughter-gender-sexuality-in-we,,native,30,0,72170,11334,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,,nbsp_present;soft_hyphens_present,01b82d69b0b87894cae0cc92de04edf3a16eded6f6f8a00f738341933716ec89
literature,mustapha-et-al-2014-sects-and-social-disorder,,native,2,0,5994,992,0,0,91,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,private_use_cipher;cmap_cipher,,9a0d856a48b81733e88de6c0f291b631c82d6dc5b8e9eb10a9a75286468eb6d9
