rank,entity,total_mentions,literature,miviludes,interviews
1,charles manson,3,0,0,3
2,scientology,3,0,0,3
3,raël,3,0,0,3
4,illuminati,2,0,0,2
5,mormons,2,0,0,2
6,jehovah's witnesses,2,0,0,2
7,catholic church,2,0,0,2
8,jews,2,0,0,2
9,lebanon,2,0,0,2
10,témoins de jéhovah,2,0,0,2
11,scientologie,2,0,0,2
12,new age,2,0,0,2
13,tomato cult,1,0,0,1
14,facebook group page,1,0,0,1
15,ai cult,1,0,0,1
16,american horror story,1,0,0,1
17,zionist,1,0,0,1
18,palestine,1,0,0,1
19,missbrauch,1,0,0,1
20,wild wild country,1,0,0,1
21,ku klux klan,1,0,0,1
22,la luz del mundo,1,0,0,1
23,los del mundo,1,0,0,1
24,guadalajara,1,0,0,1
25,mexico,1,0,0,1
26,children of god,1,0,0,1
27,manson family,1,0,0,1
28,richard branson,1,0,0,1
29,linda kasabian,1,0,0,1
30,tarantino movie,1,0,0,1
31,christian songs,1,0,0,1
32,church of scientology,1,0,0,1
33,osho,1,0,0,1
34,westboro baptist church,1,0,0,1
35,russian orthodox church,1,0,0,1
36,andrei kuraev,1,0,0,1
37,jehovah's,1,0,0,1
38,witnesses,1,0,0,1
39,russian orthodox,1,0,0,1
40,selbstverständlichkeit,1,0,0,1
41,new jesus,1,0,0,1
42,new garden,1,0,0,1
43,human design,1,0,0,1
44,blue öyster cult,1,0,0,1
45,kult,1,0,0,1
46,sekte,1,0,0,1
47,zeugen jehovas,1,0,0,1
48,hare krishnas,1,0,0,1
49,bhagwan movement,1,0,0,1
50,protestant church,1,0,0,1
51,muslims,1,0,0,1
52,kirchensteuer,1,0,0,1
53,raëlism,1,0,0,1
54,sunna,1,0,0,1
55,middle east,1,0,0,1
56,western culture,1,0,0,1
57,christians,1,0,0,1
58,alawites,1,0,0,1
59,sunnis,1,0,0,1
60,druze,1,0,0,1
61,syria,1,0,0,1
62,catholic,1,0,0,1
63,shia,1,0,0,1
64,freemasons,1,0,0,1
65,buddhafield,1,0,0,1
66,gomez,1,0,0,1
67,botox,1,0,0,1
68,led,1,0,0,1
69,holy hell,1,0,0,1
70,moonies,1,0,0,1
71,korean christian dude,1,0,0,1
72,moon,1,0,0,1
73,satanists,1,0,0,1
74,satan,1,0,0,1
75,archangels,1,0,0,1
76,cia,1,0,0,1
77,mk ultra,1,0,0,1
78,brian jones,1,0,0,1
79,cold war paranoia,1,0,0,1
80,religious cults in turkey,1,0,0,1
81,fethullah gülen,1,0,0,1
82,menzil,1,0,0,1
83,turkey,1,0,0,1
84,gourou,1,0,0,1
85,reportages netflix,1,0,0,1
86,ordre du temple solaire,1,0,0,1
87,new wave,1,0,0,1
88,sud de la france,1,0,0,1
89,turkish religious cults,1,0,0,1
90,erdoğan voters,1,0,0,1
91,nakşibendi,1,0,0,1
92,süleymancilar,1,0,0,1
93,satanist cults,1,0,0,1
94,shi'a muslims,1,0,0,1
95,ethiopia,1,0,0,1
96,ziad rahbani,1,0,0,1
97,design & computation,1,0,0,1
98,university of the arts berlin,1,0,0,1
99,raëliens,1,0,0,1
100,oregon,1,0,0,1
