corpus,document_id,stage1_status,stage2_status,item_count,output_dir
literature,2008-the-oxford-handbook-of-new-religious-movements-1,processed,embedded,3602,literature/documents/2008-the-oxford-handbook-of-new-religious-movements-1
literature,2016-legal-cases-new-religious-movements-and-minority-faiths,processed,embedded,9,literature/documents/2016-legal-cases-new-religious-movements-and-minority-faiths
literature,2023-decoding-delusions-a-clinician-s-guide-to-working-with-delusions-and-other,processed,embedded,1671,literature/documents/2023-decoding-delusions-a-clinician-s-guide-to-working-with-delusions-and-other
literature,2023-decoding-delusions-a-clinician-s-guide-to-working-with-delusions-and-other-2081,processed,embedded,588,literature/documents/2023-decoding-delusions-a-clinician-s-guide-to-working-with-delusions-and-other-2081
literature,adeliyan-tous-et-al-2023-using-law-to-limit-religious-freedom-the-case-of-new-re,processed,embedded,169,literature/documents/adeliyan-tous-et-al-2023-using-law-to-limit-religious-freedom-the-case-of-new-re
literature,ajayi-et-al-2010-menace-of-cultism-in-nigerian-tertiary-institutions-the-way-out,processed,embedded,27,literature/documents/ajayi-et-al-2010-menace-of-cultism-in-nigerian-tertiary-institutions-the-way-out
literature,anthony-and-robbins-2009-conversion-and-brainwashing-in-new-religious-movements,processed,embedded,357,literature/documents/anthony-and-robbins-2009-conversion-and-brainwashing-in-new-religious-movements
literature,arweck-et-al-2013-educating-the-next-generation-in-universal-values-hindu-relate,processed,embedded,54,literature/documents/arweck-et-al-2013-educating-the-next-generation-in-universal-values-hindu-relate
literature,arweck-et-al-2013-educating-the-next-generation-in-universal-values-hindu-relate-2125,processed,embedded,50,literature/documents/arweck-et-al-2013-educating-the-next-generation-in-universal-values-hindu-relate-2125
literature,barker-2020-even-new-religious-movements-have-legacies,processed,embedded,89,literature/documents/barker-2020-even-new-religious-movements-have-legacies
literature,barker-2020-even-new-religious-movements-have-legacies-2124,processed,embedded,87,literature/documents/barker-2020-even-new-religious-movements-have-legacies-2124
literature,bhugra-2002-self-concept-psychosis-and-attraction-of-new-religious-movements,processed,embedded,51,literature/documents/bhugra-2002-self-concept-psychosis-and-attraction-of-new-religious-movements
literature,bromley-2007-teaching-new-religious-movementslearning-from-new-religious-movemen,processed,embedded,2345,literature/documents/bromley-2007-teaching-new-religious-movementslearning-from-new-religious-movemen
literature,buxant-and-saroglou-2007-feeling-good-but-lacking-autonomy-closed-mindedness-on,processed,embedded,50,literature/documents/buxant-and-saroglou-2007-feeling-good-but-lacking-autonomy-closed-mindedness-on
literature,buxant-and-saroglou-2007-feeling-good-but-lacking-autonomy-closed-mindedness-on-2123,processed,embedded,53,literature/documents/buxant-and-saroglou-2007-feeling-good-but-lacking-autonomy-closed-mindedness-on-2123
literature,card-2019-archaeology-and-new-religious-movements,processed,embedded,17,literature/documents/card-2019-archaeology-and-new-religious-movements
literature,chryssides-2006-the-a-to-z-of-new-religious-movements,processed,embedded,637,literature/documents/chryssides-2006-the-a-to-z-of-new-religious-movements
literature,chung-et-al-2006-mounting-challenges-to-governance-in-china-surveying-collective,processed,embedded,104,literature/documents/chung-et-al-2006-mounting-challenges-to-governance-in-china-surveying-collective
literature,clarke-2004-encyclopedia-of-new-religious-movements,processed,embedded,5822,literature/documents/clarke-2004-encyclopedia-of-new-religious-movements
literature,davis-and-hankins-2002-new-religious-movements-and-religious-liberty-in-america,processed,embedded,1464,literature/documents/davis-and-hankins-2002-new-religious-movements-and-religious-liberty-in-america
literature,dawson-2006-psychopathologies-and-the-attribution-of-charisma-a-critical-introdu,processed,embedded,173,literature/documents/dawson-2006-psychopathologies-and-the-attribution-of-charisma-a-critical-introdu
