rank,entity,total_mentions,literature,miviludes,interviews
1,scientology,3867,3683,130,54
2,charismatic leader,3417,3270,117,30
3,nrms,1279,1279,0,0
4,cults,688,664,16,8
5,heaven's gate,577,577,0,0
6,new religious movements,529,529,0,0
7,cult,426,377,1,48
8,new age,387,385,1,1
9,new religions,332,332,0,0
10,dwp,320,320,0,0
11,unification church,273,273,0,0
12,jehovah's witnesses,233,224,9,0
13,nrm,218,218,0,0
14,sect,205,205,0,0
15,brainwashing,204,203,0,1
16,religion,189,183,0,6
17,wilberforce,171,171,0,0
18,branch davidians,170,170,0,0
19,satanism,166,166,0,0
20,applewhite,166,166,0,0
21,peoples temple,164,164,0,0
22,solar temple,156,156,0,0
23,the family,148,148,0,0
24,women,147,147,0,0
25,iskcon,145,145,0,0
26,aum,143,143,0,0
27,dixon,141,141,0,0
28,children of god,138,133,0,5
29,church,127,126,0,1
30,acm,116,116,0,0
31,church of scientology,111,111,0,0
32,deprogramming,109,109,0,0
33,pir,109,109,0,0
34,rajneesh,107,107,0,0
35,clapham sect,103,103,0,0
36,followers,101,101,0,0
37,sects,99,99,0,0
38,soka gakkai,98,98,0,0
39,new age movement,97,97,0,0
40,aum shinrikyo,95,95,0,0
41,children,93,93,0,0
42,can,91,91,0,0
43,islam,91,91,0,0
44,brahma kumaris,89,89,0,0
45,church of satan,88,88,0,0
46,cult awareness network,87,87,0,0
47,dérives sectaires,87,0,87,0
48,jonestown,85,85,0,0
49,students,84,84,0,0
50,falun gong,84,84,0,0
51,christian science,83,83,0,0
52,wicca,81,81,0,0
53,christianity,81,81,0,0
54,david koresh,81,81,0,0
55,theosophical society,81,81,0,0
56,anti-cult movement,80,80,0,0
57,scholars,79,79,0,0
58,jim jones,79,79,0,0
59,osho,79,79,0,0
60,internet,77,77,0,0
61,nettles,75,75,0,0
62,violence,74,73,1,0
63,group,74,71,0,3
64,theosophy,73,73,0,0
65,members,73,73,0,0
66,damanhur,72,72,0,0
67,do,68,68,0,0
68,groups,67,67,0,0
69,paganism,65,65,0,0
70,delusions,65,65,0,0
71,religious groups,64,64,0,0
72,davidians,61,61,0,0
73,santo daime,61,61,0,0
74,media,60,60,0,0
75,movement,60,60,0,0
76,sea org,60,60,0,0
77,earth first!,59,59,0,0
78,france,58,48,10,0
79,sathya sai baba,58,58,0,0
80,movements,57,57,0,0
81,god,57,57,0,0
82,conversion,56,56,0,0
83,lifton,56,56,0,0
84,charismatic leaders,56,56,0,0
85,singer,56,56,0,0
86,sufism,56,56,0,0
87,mama ji,54,54,0,0
88,cultic milieu,53,53,0,0
89,neo-paganism,53,53,0,0
90,government,51,51,0,0
91,religions,51,50,1,0
92,science,51,51,0,0
93,transcendental meditation,51,51,0,0
94,buddhism,51,49,2,0
95,catholic church,51,50,0,1
96,charismatic authority,51,51,0,0
97,spiritualism,50,50,0,0
98,churches,50,50,0,0
99,leader,50,50,0,0
100,deprogrammers,50,50,0,0
101,society,50,50,0,0
102,party,50,50,0,0
103,hare krishna,49,49,0,0
104,aetherius society,48,48,0,0
105,state,47,47,0,0
106,worldwide church of god,47,47,0,0
107,wiccans,46,46,0,0
108,bible,45,45,0,0
109,spirituality,44,43,0,1
110,charisma,44,44,0,0
111,nation of islam,43,43,0,0
112,ex-members,43,43,0,0
113,unarius,43,43,0,0
114,the family international,43,43,0,0
115,anticult movement,42,42,0,0
116,reiki,42,42,0,0
117,aum shinrikyˆ o,42,42,0,0
118,militants,42,42,0,0
119,child abuse,41,41,0,0
120,asahara,41,41,0,0
121,ashiq,41,41,0,0
122,leaders,40,39,1,0
123,parents,40,36,4,0
124,divine light mission,40,40,0,0
