rank,entity,total_mentions,literature,miviludes,interviews
1,nrms,685,685,0,0
2,scientology,299,296,0,3
3,new age,270,259,9,2
4,heaven's gate,268,268,0,0
5,unification church,250,250,0,0
6,jehovah's witnesses,211,208,0,3
7,new religious movements,195,195,0,0
8,branch davidians,159,159,0,0
9,jonestown,156,156,0,0
10,solar temple,136,136,0,0
11,church of scientology,133,132,0,1
12,peoples temple,129,129,0,0
13,nrm,126,126,0,0
14,iskcon,123,122,1,0
15,children of god,118,116,0,2
16,new age movement,110,110,0,0
17,theosophy,109,109,0,0
18,aum shinrikyo,103,103,0,0
19,dwp,99,99,0,0
20,satanism,95,95,0,0
21,buddhism,94,94,0,0
22,the family,92,92,0,0
23,hare krishna,91,90,1,0
24,wicca,89,89,0,0
25,christianity,89,89,0,0
26,waco,89,89,0,0
27,soka gakkai,86,86,0,0
28,wilberforce,82,82,0,0
29,osho,80,79,0,1
30,transcendental meditation,75,75,0,0
31,mormons,75,73,0,2
32,sufi,73,73,0,0
33,applewhite,73,73,0,0
34,christian,70,69,0,1
35,christian science,68,68,0,0
36,islam,67,67,0,0
37,david koresh,67,67,0,0
38,falun gong,66,66,0,0
39,united states,63,63,0,0
40,next level,62,62,0,0
41,acm,61,60,1,0
42,miviludes,61,7,54,0
43,theosophical society,60,60,0,0
44,l. ron hubbard,60,59,1,0
45,jim jones,60,60,0,0
46,brahma kumaris,59,59,0,0
47,moonies,57,56,0,1
48,internet,56,53,3,0
49,rajneesh,56,56,0,0
50,buddhist,52,52,0,0
51,clapham sect,52,52,0,0
52,jesus,51,51,0,0
53,nettles,51,51,0,0
54,international society for krishna consciousness,50,50,0,0
55,the unification church,50,50,0,0
56,church of satan,49,49,0,0
57,church universal and triumphant,49,49,0,0
58,lifton,49,49,0,0
59,new thought,49,49,0,0
60,dixon,49,49,0,0
61,dianetics,48,48,0,0
62,bible,48,47,1,0
63,spiritualism,47,47,0,0
64,new york,47,47,0,0
65,richardson,47,47,0,0
66,sufism,46,46,0,0
67,divine light mission,45,45,0,0
68,cult awareness network,45,45,0,0
69,fbi,45,45,0,0
70,holy spirit,45,45,0,0
71,aum shinrikyˆ o,45,45,0,0
72,rajneeshpuram,42,42,0,0
73,france,41,41,0,0
74,church,41,41,0,0
75,can,41,41,0,0
76,the family international,41,41,0,0
77,cults,40,40,0,0
78,new religions,40,40,0,0
79,branch davidian,40,40,0,0
80,london,39,39,0,0
81,satan,39,38,0,1
82,do,39,39,0,0
83,nation of islam,39,39,0,0
84,earth first!,39,39,0,0
85,paganism,38,38,0,0
86,roman catholic church,37,37,0,0
87,catholic church,37,35,0,2
88,elohim,37,36,1,0
89,aum,37,37,0,0
90,god,37,37,0,0
91,neo-paganism,37,37,0,0
92,california,37,37,0,0
93,hindu,36,36,0,0
94,jews,36,35,0,1
95,christ,36,36,0,0
96,hinduism,36,36,0,0
97,shakers,35,35,0,0
98,singer,35,35,0,0
99,bromley,35,35,0,0
100,japan,35,35,0,0
101,new religious movements (nrms),35,35,0,0
102,germany,35,35,0,0
103,pentecostal,34,34,0,0
104,eckankar,34,34,0,0
105,barker,34,34,0,0
106,gurdjieff,33,32,1,0
107,sun myung moon,33,33,0,0
108,ti,33,33,0,0
109,american family foundation,33,33,0,0
110,nichiren shoshu,33,33,0,0
111,wiccan,32,32,0,0
112,starhawk,31,31,0,0
113,the church of scientology,31,31,0,0
114,ots,31,31,0,0
115,sathya sai baba,31,31,0,0
116,thornton,31,31,0,0
117,cesnur,30,30,0,0
118,ascended masters,30,30,0,0
119,mormonism,30,30,0,0
120,christian identity,30,30,0,0
121,sierra leone,30,30,0,0
122,alice bailey,29,29,0,0
123,pagan,29,29,0,0
124,krishna consciousness,29,29,0,0
125,great white brotherhood,29,29,0,0
126,armageddon,29,29,0,0
127,theosophical,29,29,0,0
128,sea org,29,29,0,0
129,worldwide church of god,28,28,0,0
130,anthony,28,28,0,0
131,damanhur,28,28,0,0
132,temple of set,28,28,0,0
133,zen,28,28,0,0
134,first amendment,28,28,0,0
135,sahaja yoga,28,28,0,0
136,anthroposophy,28,28,0,0
137,new religious movement,28,28,0,0
138,clapham,28,28,0,0
139,wiccans,27,27,0,0
140,zablocki,27,27,0,0
141,raelians,27,27,0,0
142,order of the solar temple,27,27,0,0
143,ku klux klan,27,24,0,3
144,pentecostalism,26,26,0,0
145,aetherius society,26,26,0,0
146,maharishi mahesh yogi,26,26,0,0
147,hare krishna movement,26,26,0,0
148,russia,26,26,0,0
149,brainwashing,26,26,0,0
150,human potential movement,26,26,0,0
151,buddha,26,26,0,0
152,catholic,26,25,0,1
153,davidians,26,26,0,0
154,ufos,25,25,0,0
155,church of all worlds,25,25,0,0
156,tm,25,25,0,0
157,scientologists,25,25,0,0
158,charles manson,25,22,0,3
159,jesus movement,25,25,0,0
160,hare krishnas,25,24,0,1
161,arcane school,25,25,0,0
162,anti-cult movement,25,25,0,0
163,nova religio,24,24,0,0
164,canada,24,23,1,0
165,schein,24,24,0,0
166,rudolf steiner,24,23,1,0
167,hubbard,24,24,0,0
168,osama bin laden,24,24,0,0
169,di mambro,24,24,0,0
170,rajneesh movement,24,24,0,0
171,macaulay,24,24,0,0
172,europe,23,22,1,0
173,tenrikyo,23,23,0,0
